time="2026-04-14T12:29:46+05:30" level=error msg="The moduleSpecifier \"script.js\" couldn't be found on local disk. Make sure that you've specified the right path to the file. If you're running k6 using the Docker image make sure you have mounted the local directory (-v /local/path/:/inside/docker/path) containing your script and modules so that they're accessible by k6 from inside of the container, see https://grafana.com/docs/k6/latest/using-k6/modules/#use-modules-with-docker."
time="2026-04-14T12:30:04+05:30" level=error msg="FAIL | VU=7 ITER=0 STATUS=200 TIME=8747.822ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:04+05:30" level=info msg="INFO | VU=7 ITER=0 STATUS=200 TIME=8747.822ms" source=console
time="2026-04-14T12:30:07+05:30" level=error msg="FAIL | VU=9 ITER=0 STATUS=200 TIME=8778.735ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:07+05:30" level=info msg="INFO | VU=9 ITER=0 STATUS=200 TIME=8778.735ms" source=console
time="2026-04-14T12:30:10+05:30" level=error msg="FAIL | VU=4 ITER=0 STATUS=200 TIME=8685.611ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:10+05:30" level=info msg="INFO | VU=4 ITER=0 STATUS=200 TIME=8685.611ms" source=console
time="2026-04-14T12:30:13+05:30" level=error msg="FAIL | VU=10 ITER=0 STATUS=200 TIME=8544.047ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:13+05:30" level=info msg="INFO | VU=10 ITER=0 STATUS=200 TIME=8544.047ms" source=console
time="2026-04-14T12:30:14+05:30" level=error msg="FAIL | VU=7 ITER=1 STATUS=200 TIME=8800.623ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:18+05:30" level=error msg="FAIL | VU=9 ITER=1 STATUS=200 TIME=9892.008ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:18+05:30" level=error msg="FAIL | VU=2 ITER=0 STATUS=200 TIME=10445.19ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:18+05:30" level=info msg="INFO | VU=2 ITER=0 STATUS=200 TIME=10445.19ms" source=console
time="2026-04-14T12:30:21+05:30" level=error msg="FAIL | VU=4 ITER=1 STATUS=200 TIME=10095.36ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:21+05:30" level=error msg="FAIL | VU=3 ITER=0 STATUS=200 TIME=11270.987ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:21+05:30" level=info msg="INFO | VU=3 ITER=0 STATUS=200 TIME=11270.987ms" source=console
time="2026-04-14T12:30:26+05:30" level=error msg="FAIL | VU=13 ITER=0 STATUS=200 TIME=12929.859ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:26+05:30" level=info msg="INFO | VU=13 ITER=0 STATUS=200 TIME=12929.859ms" source=console
time="2026-04-14T12:30:27+05:30" level=error msg="FAIL | VU=10 ITER=1 STATUS=200 TIME=13267.524ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:28+05:30" level=error msg="FAIL | VU=7 ITER=2 STATUS=200 TIME=13166.723ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:30+05:30" level=error msg="FAIL | VU=14 ITER=0 STATUS=200 TIME=14317.094ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:30+05:30" level=info msg="INFO | VU=14 ITER=0 STATUS=200 TIME=14317.094ms" source=console
time="2026-04-14T12:30:35+05:30" level=error msg="FAIL | VU=9 ITER=2 STATUS=200 TIME=16039.029ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:36+05:30" level=error msg="FAIL | VU=2 ITER=1 STATUS=200 TIME=16031.326ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:36+05:30" level=error msg="FAIL | VU=1 ITER=0 STATUS=200 TIME=16629.546ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:36+05:30" level=info msg="INFO | VU=1 ITER=0 STATUS=200 TIME=16629.546ms" source=console
time="2026-04-14T12:30:39+05:30" level=error msg="FAIL | VU=4 ITER=2 STATUS=200 TIME=17450.517ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
time="2026-04-14T12:30:39+05:30" level=error msg="FAIL | VU=3 ITER=1 STATUS=200 TIME=17031.414ms BODY={\"verdict\":\"accepted\",\"actual_outputs\":[5]}" source=console
